TIP,COH,10/24/2017,Centennial Gardens,"1500 Hermann Dr., Houston, TX 77004",Park,Hermann Park,N/A,7,DC ,13,,,,,,,,,,,
TIP,COH,10/24/2017,HCC Central,"1300 Holman St., Houston, TX 77004",ROW,Midtown,N/A,7,DC ,13,,,,,,,,Y,,,
TIP,COH,7/24/2017,Health Museum,"1515 Hermann Dr., Houston, TX 77004",ROW,Museum District,N/A,8,DC ,15,,,,,,,,,,,
TIP,COH,1/31/2019,Memorial Park Picnic Loop,"S Picnic Ln, Houston, TX 77007",Park,Memorial Park,N/A,8,DC ,15,,,,,,,,,,,
TIP,COH,1/31/2019,Memorial Park Running Center,"N Picnic Ln, Houston, TX 77007",Park,Memorial Park,4,N/A,DC ,18,,,,,,,,,,,
TIP,COH,6/1/2020,Austin & Gray,"2101 Austin St., Houston TX 77002",ROW,Midtown,7,N/A,DC,13,,,,,,,,Y,,,
TIP,COH,6/14/2017,Baldwin Park,"1701 Elgin St., Houston, TX 77004",Park,Midtown,N/A,7,DC,13,,,,,,,,,,,
,HBS,11/17/2015; 05/01/2021,Brazos & McGowen,"2600 Brazos St., Houston, TX 77006",ROW,Midtown,N/A,7,DC,13,,,,,,,,,,,
TIP,COH,6/8/2020,Dunlavy & Westheimer,"1706 Westheimer Rd, Houston, TX 77098",ROW,Montrose,6,N/A,DC,11,,,,,,,,,,,
TIP,COH,12/17/2019,Eleanor Tinsley Park,18-3600 Allen Pkwy. Houston TX 77019,Park,Montrose,4,N/A,DC,14,,,,,,,,,,,
,COH,2/21/2013,Ensemble/HCC METRORail,"3512 Main St., Houston, TX 77002",ROW,Midtown,4,N/A,DC,14,,,,,,,,Y,,,
PC1,PC1,1/28/2021,Fonde Recreation Center,"110 Sabine St. Houston, TX 77007",ROW,Montrose,N/A,6,DC,11,,,,,,,,,,,
"TIP, PC1",COH,12/17/2019,Hermann Park Bill Coats Bridge @ Almeda,"6340 Almeda Road, Houston TX 77030",Park,Hermann Park,N/A,9,DC,17,,,,,,,,Y,,,
,COH,3/29/2013,Hermann Park Lake Plaza,"6100 Hermann Park Dr., Houston, TX 77030",Park,Hermann Park,N/A,7,DC,13,,,,,,,,,,,
"TIP, PC1",COH,12/18/2019,Hermann Park Rice U METROrail,"6050 Fannin St., Houston TX 77030",Park,Hermann Park,8,N/A,DC,15,,,,,,,,Y,,,
TIP,COH,12/8/2015;12/20/2017,Jackson Hill & Memorial Dr,"300 Jackson Hill St, Houston, TX 77007",ROW,Washington Corridor,N/A,8,DC,15,,,,,,,,,,,
PC1,PC1,4/27/2021,La Branch & Alabama,"1502 Alabama St. Houston, TX 77004",ROW,Midtown,N/A,8,DC,15,,,,,,,,Y,,,
,COH,3/27/2013,LaBranch & Lamar,"1075 La Branch, Houston, TX 77002",ROW,Downtown,N/A,6,DC,11,,,,,,,,,,,
,COH,5/2/2012,Lamar & Crawford ,"1177 Crawford St., Houston, TX 77002",ROW,Downtown,6,N/A,DC,11,,,,,,,,,,,
,COH,3/27/2013,Lamar & Milam,"782 Lamar, Houston, TX 77002",ROW,Downtown,4,N/A,DC,14,,,,,,,,,,,
TIP,COH,4/26/2017,Lost Lake,"3450 D'Amico St., Houston, TX 77019",ROW,Montrose,N/A,6,DC,22,,,,,,,,,,,
"TIP, PC1",COH,10/22/2019,MacGregor Park,5225 Calhoun Rd. Houston TX 77021,Park,Third Ward,9,N/A,DC,17,,,,,,,,,,,
,COH,3/30/2013,Main & Dallas,"1250 Main St., Houston, TX 77002",ROW,Downtown,7,N/A,DC,13,,,,,,,,Y,,,
,COH,9/10/2013,Milam & Webster,"2215 Milam St., Houston, TX 77002",ROW,Midtown,6,N/A,DC,11,,,,,,,,Y,,,
TIP,COH,8/25/2021,MLK & Griggs,"5107 Griggs Rd. Houston, TX, 77021",ROW,Inner Loop SE,N/A,6,DC,11,,,,,,,,Y,,,
TIP,COH,2/15/2022,Park @ Palm Center,"5400 Griggs Rd., Houston, TX 77021",Park,Inner Loop SE,6,N/A,DC,11,,,,,,,,Y,,,
,HBS,2/15/2022,Perry & Milart,"6110 Milart St, Houston, TX 77021",ROW,Inner Loop SE,5,N/A,DC,8,,,,,,,,,,,
,HBS,3/28/2013,Sabine Bridge,"190 Sabine Sr., Houston, TX 77007",ROW,Montrose/Midtown,11,N/A,DC,21,,,,,,,,,,,
,COH,3/28/2013,Smith & Capitol,"612 Smith St., Houston, TX 77002",ROW,Downtown,8,N/A,DC,15,,,,,,,,,,,
,COH,9/10/2013,Spotts Park,"3683 Willia St., Houston, TX 77007",Park,Washington Corridor,N/A,4,DC,14,,,,,,,,,,,
,COH,9/9/2013,Taft & Fairview,"2401 Taft St., Houston, TX 77006",ROW,Montrose,6,N/A,DC,11,,,,,,,,,,,
TIP,COH,3/27/2013;11/28/17,Westheimer & Waugh,"1111 Westheimer, Houston, TX 77006",Private Property,Montrose,N/A,4,DC,14,,,,,,,,,,,
TIP,COH,4/11/2022,Convention Center ,"1001 Avenidas De Las Americas Houston, TX 77010",ROW,Downtown,N/A,N/A,B,15,,,,,,,,Y,,,
,HBS,9/15/2022,Post Oak & 4Oaks Pl. ,"1500 Post Oak Blvd. Houston, TX 77056",Private Property,Uptown,N/A,N/A,B,15,8,,,,,,,Y,Y,,N
,HBS,4/28/2022,Regent Square,"3515 W. Dallas St. Houston, TX 77019",Private Property,Montrose,N/A,N/A,B,10,,,,,,,,,,,
,HBS,7/29/2022,The Ion,"4201 Main St. Houston, TX 77002",Private Property,Midtown,N/A,N/A,B,10,5,,,,,,,Y,,,
,HBS,11/22/2022,Trebly Park,"1199 Bell St. Houston, TX 77002",Private Property,Downtown,N/A,N/A,B,11,,,,,,,,,Downtown MD,,
PC1,PC1,9/20/2022,NRG - Fannin,"1NRG Park Houston, TX 77054",Private Property,Inner Loop SW,N/A,8,AC,15,0,,,,,,,Y,Y,,N
PC1,PC1 ,9/19/2022,NRG - Kirby,"8799 Kirby Dr. Houston, TX 77054",Private Property,Inner Loop SW,8,N/A,AC,15,0,,,,,,,,Y,,N
TIP,COH,4/18/2018,2222 Smith,"2222 Smith St., Houston, TX 77002",ROW,Midtown,6,N/A,AC,11,,,,,,,,,,,
TIP,COH,1/17/2018,24ELEVEN WASHINGTON,"2411 Washington Ave., Houston, TX 77006",ROW,Washington Corridor,N/A,5,AC,9,,,,,,,,Y,,,
,COH,6/10/2013,Clay & Smith,"554 Clay St., Houston, TX 77002",ROW,Downtown,N/A,7,AC,13,,,,,,,,Y,,,
TIP,COH,1/17/2017,Crawford Island,"925 Crawford St., Houston, TX 77010",ROW,Downtown,N/A,10,AC,19,,,,,,,,,,,
,COH,3/27/2013,Elgin & Smith,"614 Elgin, Houston, TX 77006",ROW,Midtown,N/A,6,AC,11,,,,,,,,Y,,,
"TIP, PC1",COH,6/14/2017;11/28/2017; 6/9/2022,Jury Assembly,"201 Caroline Street, Houston, TX 77002",ROW,Downtown,N/A,11,AC,21,,,,,,,,Y,,,
TIP,COH,5/2/2012; 11/15/2021,Lamar & Bagby,"430 Lamar St., Houston, TX 77002",ROW,Downtown,6,N/A,AC,11,,,,,,,,,,,
TIP,COH,3/26/2013; 3/9/2021,Lamar & Caroline ,"1300 Lamar St, Houston, Texas 77010",ROW,Downtown,N/A,8,AC,15,,,,,,"was McKinney & Caroline, moved due to City reconstruction of sidewalks",,,,,
,HBS,3/22/2016,Main Street Square METRORail Main & Walker,"914 Main St., Houston, TX 77002",ROW,Downtown,7,N/A,AC,13,,,,,,,,Y,,,
,COH,4/25/2012,Market Square,"864 Congress St., Houston, TX 77002",Park,Downtown,3,N/A,AC,10,,,,,,,,21,,,
,COH,9/9/2013,Menil Collection/Alabama & Mulberry," 1506 W Alabama St, Houston, TX 77006",ROW,Montrose,7,N/A,AC,13,,,,,,,,,,,
TIP,COH,3/6/2019,Midtown Park,"2811 Travis St, Houston, TX 77006",Private Property,Midtown,N/A,7,AC,13,,,,,,,,Y,,,
TIP,COH,6/29/2017,Navigation Esplanade,"2501 Navigation BlvD., Houston, TX 77003",ROW,Greater East End,N/A,7,AC,13,,,,,,,,Y,,,
TIP,COH,7/24/2017,Pearl Washington,"5418 Washington Ave., Houston, TX 77007",Private Property,Washington Corridor,7,N/A,AC,13,,,,,,,,,,,
,COH,2/23/2013,Tellepsen YMCA,"808 Pease St., Houston, TX 77002",ROW/Private Property,Downtown,3,N/A,AC,10,,,,,,,,,,,
,HBS,12/17/2019,The Parker @ Memorial,"160 Birdsall, Houston, TX 77007",ROW,Washington Corridor,N/A,4,AC,7,,,,,,,,,,,
,COH,3/30/2013,UHD Main & Franklin,"100 Main St., Houston, TX 77002",Private Property,Downtown,5,N/A,AC,9,,,,,,,,Y,,,
,COH,4/5/2013,West Gray & Baldwin,"218 Gray St., Houston, TX 77002",ROW,Midtown,6,N/A,AC,11,,,,,,,,,,,